Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US
12/07/2021,Ages_12-15_yrs,10088873,4.3,4.3,8406881,59.6,49.7,4.2,4.2
12/07/2021,Age_known,236339550,99.9,99.9,199681775,,,99.9,99.9
12/07/2021,Ages_<5yrs,9325,0,0,2752,0,0,0,0
12/07/2021,Ages_12-17_yrs,15602089,6.6,6.6,13127053,61.7,51.9,6.6,6.6
12/07/2021,Sex_Female,122696339,52.4,51.9,104125105,72.8,61.8,52.5,52.1
12/07/2021,Age_unknown,24285,0,0,5664,,,0,0
12/07/2021,Ages_65-74_yrs,33061338,14,14,28311072,99.9,88.8,14.2,14.2
12/07/2021,Ages_25-39_yrs,49880061,21.1,21.1,42213881,72.9,61.7,21.1,21.1
12/07/2021,Ages_18-24_yrs,21119577,8.9,8.9,17546307,69.1,57.4,8.8,8.8
12/07/2021,US,236363835,,99.9,199687439,71.2,60.1,,99.9
12/07/2021,Race_eth_Hispanic,32010279,19.3,13.5,27691725,50.2,43.4,18.9,13.9
12/07/2021,Ages_16-17_yrs,5513216,2.3,2.3,4720172,65.7,56.3,2.4,2.4
12/07/2021,Race_eth_NHNHOPI,491732,0.3,0.2,426496,53,45.9,0.3,0.2
12/07/2021,Sex_Male,111486276,47.6,47.2,94051851,68.2,57.5,47.5,47.1
12/07/2021,Ages_75+_yrs,22427440,9.5,9.5,19136251,97.9,83.5,9.6,9.6
12/07/2021,Ages_<12yrs,4966469,2.1,2.1,1689773,10.2,3.5,0.8,0.8
12/07/2021,Race_eth_NHBlack,16891819,10.2,7.1,14799385,41,35.9,10.1,7.4
12/07/2021,Ages_40-49_yrs,33044571,14,14,28571166,81,70,14.3,14.3
12/07/2021,Race_eth_unknown,70754649,42.7,29.9,53053427,,,36.2,26.6
12/07/2021,Race_eth_known,165609181,99.9,70.1,146634007,,,99.9,73.4
12/07/2021,Ages_5-11_yrs,4952696,2.1,2.1,1685853,17.2,5.9,0.8,0.8
12/07/2021,Sex_unknown,2181220,0.9,0.9,1510483,,,0.8,0.8
12/07/2021,Race_eth_NHAIAN,1525441,0.9,0.6,1256707,62.6,51.6,0.9,0.6
12/07/2021,Sex_known,234182615,99.9,99.1,198176956,,,99.9,99.2
12/07/2021,Race_eth_NHMult_Oth,9190929,5.5,3.9,8048373,99.9,99.9,5.5,4
12/07/2021,Race_eth_NHAsian,9941108,6,4.2,9023409,52.3,47.5,6.2,4.5
12/07/2021,Ages_50-64_yrs,56238005,23.8,23.8,49086272,88.3,77.1,24.6,24.6
12/07/2021,Race_eth_NHWhite,95557873,57.7,40.4,85387912,48.4,43.3,58.2,42.8
12/06/2021,Sex_Male,111486276,47.6,47.2,94051851,68.2,57.5,47.5,47.1
12/06/2021,Race_eth_NHWhite,95557873,57.7,40.4,85387912,48.4,43.3,58.2,42.8
12/06/2021,Ages_25-39_yrs,49880061,21.1,21.1,42213881,72.9,61.7,21.1,21.1
12/06/2021,Race_eth_NHNHOPI,491732,0.3,0.2,426496,53,45.9,0.3,0.2
12/06/2021,Race_eth_unknown,70754649,42.7,29.9,53053427,,,36.2,26.6
12/06/2021,Race_eth_known,165609181,99.9,70.1,146634007,,,99.9,73.4
12/06/2021,Sex_Female,122696339,52.4,51.9,104125105,72.8,61.8,52.5,52.1
12/06/2021,Race_eth_Hispanic,32010279,19.3,13.5,27691725,50.2,43.4,18.9,13.9
12/06/2021,Sex_unknown,2181220,0.9,0.9,1510483,,,0.8,0.8
12/06/2021,Ages_12-17_yrs,15602089,6.6,6.6,13127053,61.7,51.9,6.6,6.6
12/06/2021,Race_eth_NHAsian,9941108,6,4.2,9023409,52.3,47.5,6.2,4.5
